disease	url	doi	year	dt	variable	estimate	sentence
covid	http://www.sciencedirect.com/science/article/pii/S0929664608601503	10.1016/S0929-6646(08)60150-3	2008		asymptomatic		recently reported the first case of asymptomatic SARS with antigenemia and seroconversion who worked in the same restaurant
covid	http://www.sciencedirect.com/science/article/pii/S0929664608601503	10.1016/S0929-6646(08)60150-3	2008		asymptomatic		Asymptomatic or mild cases, though limited in numbers, were
covid	http://www.sciencedirect.com/science/article/pii/S0929664608601503	10.1016/S0929-6646(08)60150-3	2008		asymptomatic		According to the updated interim US CDC case definition for SARS on July 16, 2003, the clinical criteria of SARS include asymptomatic or mild respiratory illness, moderate respiratory illness, and severe respiratory illness.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		The data about virus detection were not available for those asymptomatic persons in their incubation period.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		Therefore, we believe more effective measures should be taken to stem the transmission of asymptomatic contact during the incubation period.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		Compared with the relative small number of asymptomatic cases, the majority of COVID-19 cases when they have no symptoms in their incubation period may contribute to a significant number of infection cases.
covid	http://wwwnc.cdc.gov/eid/article/10/6/03-0972_article.htm	10.3201/eid1006.030972			asymptomatic		This study not only highlights the presence of mild and asymptomatic infection in healthcare workers during a SARS epidemic but also indicates lower antibody response and earlier seroconversion.
covid	http://wwwnc.cdc.gov/eid/article/10/6/03-0972_article.htm	10.3201/eid1006.030972			asymptomatic		Finally, patients with mild or asymptomatic SARS- CoV infection in this study had lower levels (<1:100) IgG antibody and earlier seroconversion than those patients with severe SARS.
covid	http://wwwnc.cdc.gov/eid/article/10/6/03-0972_article.htm	10.3201/eid1006.030972			asymptomatic		These findings highlight the possibility that SARS-CoV might produce only mild or asymptomatic infection, although few previous reports have described this form of infection with SARS-CoV (4,5).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		where p is the proportion of incident cases that are asymptomatic: i,(t) = pi(t).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		Then, the odds of the realized proportion of asymptomatic transmission can be written as: els ) fea (s2)
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1	10.1101/2020.03.06.20031955	2020	2020-06-03	asymptomatic		This study evaluated whether and when the infected but asymptomatic cases during the incubation period could infect
covid	http://www.sciencedirect.com/science/article/pii/S0895398810600086	10.1016/S0895-3988(10)60008-6	2009		asymptomatic		Neutralization test and ELISA showed that 19 serum samples from asymptomatic close contactors were negative for SARS-CoV-specific antibody, while 13 samples from secondary SARS cases were positive for SARS-CoV-specific antibody.
covid	https://www.biorxiv.org/content/10.1101/2020.03.08.982637v1	10.1101/2020.03.08.982637	2020	2020-08-03	asymptomatic		risks in the public venues but do reinforce the importance of avoiding crowded gatherings and implementing early identification and diagnosis of asymptomatic carriers for early quarantine or treatment.
covid	https://www.medrxiv.org/content/10.1101/2020.03.03.20028423v2	10.1101/2020.03.03.20028423	2020	2020-03-03	asymptomatic		Asymptomatic travellers will be missed by symptom-based surveillance; and, even if tested, some asymptomatic contacts may be missed due to the of the PCR test °°.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033803v1	10.1101/2020.03.10.20033803	2020	2020-10-03	asymptomatic		We find that, (1) instead of aberration, there is a remarkable amount of asymptomatic individuals, (2) an individual with symptoms is approximately twice more likely to pass the disease to others than that of an asymptomatic patient, (3) the transmission rate has reduced since the of control
covid	https://www.sciencedirect.com/science/article/pii/S019643990400011X	10.1016/j.clinmicnews.2004.03.005	2004		asymptomatic		In the clinical criteria, the term “early” illness replaces “asymptomatic” or “mild” illness.
flu	http://www.sciencedirect.com/science/article/pii/S2210600611000062	10.1016/j.jegh.2011.06.004	2011		asymptomatic		EXIT festival: 62 asymptomatic cases or non-
flu	https://www.sciencedirect.com/science/article/pii/S0264410X16302717	10.1016/j.vaccine.2016.04.096	2016		asymptomatic		most point estimates were that asymptomatic individuals were 65-85% of the total with high het- erogeneity (J? =
flu	https://www.sciencedirect.com/science/article/pii/S0264410X16302717	10.1016/j.vaccine.2016.04.096	2016		asymptomatic		the pooled mean of asymptomatic cases was 16% (95%CI 13%, 19%) with low heterogeneity
covid	https://www.medrxiv.org/content/10.1101/2020.03.01.20029801v2	10.1101/2020.03.01.20029801	2020	2020-01-03	asymptomatic		Asymptomatic spreading is still under and the statistical evidences are scarce and not significant enough as to be taken by granted.
covid	https://www.medrxiv.org/content/10.1101/2020.03.01.20029801v2	10.1101/2020.03.01.20029801	2020	2020-01-03	asymptomatic		Additionally, note that we have not explicitly included in the model the possibility of asymptomatic transmission, which should not be mistaken by transmission from undetected or unreported cases.
flu	https://www.sciencedirect.com/science/article/pii/S2213260014700347	10.1016/S2213-2600(14)70034-7	2014		asymptomatic		Interpretation Seasonal influenza and the 2009 pandemic strain were characterised by similar high rates of mainly asymptomatic infection with most symptomatic cases self-managing without medical consultation.
flu	https://www.sciencedirect.com/science/article/pii/S0022347615016224	10.1016/j.jpeds.2015.12.034	2016		asymptomatic		Respiratory viruses detected in nasal specimens from 725 asymptomatic surveillance visits and 327 URI visits from 236 study subjects.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20032417v1	10.1101/2020.03.06.20032417	2020	2020-06-03	asymptomatic		One of the critical factors to determine the optimal quarantine of asymptomatic individuals is a good understanding of the incubation period, and this has been lacking for COVID-19.
flu	https://www.sciencedirect.com/science/article/pii/S1526054210700361	10.1016/S1526-0542(10)70036-1	2010		asymptomatic		Studies from Vietnam and Thailand did not reveal any evidence of asymptomatic infections among contacts of index cases [26,27].
covid	https://www.sciencedirect.com/science/article/pii/S2387020620300747	10.1016/j.medcle.2020.02.001	2020		asymptomatic		Symptomatic patients produce the majority infections, however there may be infections from asymptomatic patients and even from people in the incubation period of the disease, although some initial data provided have proved to be mistaken.
covid	https://www.medrxiv.org/content/10.1101/2020.02.29.20029421v1	10.1101/2020.02.29.20029421	2020	2020-02-29	asymptomatic		the median incubation time is 3 days, which can be as long as 24 days [7]; and (v) asymptomatic person carrying SARS
covid	https://www.medrxiv.org/content/10.1101/2020.02.29.20029421v1	10.1101/2020.02.29.20029421	2020	2020-02-29	incubation+time	3	the median incubation time is 3 days, which can be as long as 24 days [7]; and (v) asymptomatic person carrying SARS
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20032045v1	10.1101/2020.03.09.20032045	2020	2020-09-03	asymptomatic		The proportion of asymptomatic infections, being the main source of community transmission in scenarios where the travel bans are lifted, was assumed to be 34.6% based on testing of passengers aboard the Diamond Princess cruise ship (13, 14).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20032045v1	10.1101/2020.03.09.20032045	2020	2020-09-03	asymptomatic		A further limitation is the uncertainty of parameters used, particularly the proportion of asymptomatic cases.
covid	https://www.sciencedirect.com/science/article/pii/S1546144020301502	10.1016/j.jacr.2020.02.008	2020		asymptomatic		Transmission of 2019-nCoV infection from an asymptomatic contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.03.15.20035360v1	10.1101/2020.03.15.20035360	2020	2020-03-15	asymptomatic		Given the ubiquity of comorbidities in the elderly population, and their increased susceptibility to severe COVID-19 infection (18), knowledge on the differing prevalence and risk of various conditions may help to focus and tailor public health efforts such as the screening of asymptomatic individuals, risk communication, contact tracing, self-isolation and social distancing.
covid	https://www.medrxiv.org/content/10.1101/2020.03.03.20030437v1	10.1101/2020.03.03.20030437	2020	2020-03-03	asymptomatic		The clinical manifestations of COVID-19 cases range from an 89 asymptomatic course to serve acute respiratory symptoms and even acute 90 respiratory failure [4-7].
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1	10.1101/2020.03.10.20033852	2020	2020-10-03	asymptomatic		As asymptomatic infections would lead to an antibody response, serology could be a valuable tool to assess the importance of asymptomatic transmission.    
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1	10.1101/2020.03.10.20033852	2020	2020-10-03	asymptomatic		However, when infected subjects who remain completely asymptomatic could be infectious to susceptible contacts, the appearance of such contacts, when symptomatic, could not be linked to their immediate ancestors.
covid	http://www.sciencedirect.com/science/article/pii/S0895398810600086	10.1016/S0895-3988(10)60008-6	2009		asymptomatic		Neutralization test and ELISA showed that 19 serum samples from asymptomatic close contactors were negative for SARS-CoV-specific antibody, while 13 samples from secondary SARS cases were positive for SARS-CoV-specific antibody.
covid	https://www.medrxiv.org/content/10.1101/2020.03.07.20031393v1	10.1101/2020.03.07.20031393	2020	2020-07-03	asymptomatic		asymptomatic patients used the date of admission instead (Figure 2) .
covid	https://www.sciencedirect.com/science/article/pii/S0140673604157292	10.1016/S0140-6736(04)15729-2	2004		asymptomatic		This apparent high rate of false-positive non-pneumonic cases, as detected by the recombinant nucleocapsid protein ELISA, is due to the use of a single antigen for screening asymptomatic or non- pneumonic infections.
covid	https://www.medrxiv.org/content/10.1101/2020.02.13.20022707v2	10.1101/2020.02.13.20022707	2020	2020-02-13	asymptomatic		8 countries has relied largely on symptoms and travel history, so the number of asymptomatic or low-severity cases missed by such a strategy is unknown.
covid	https://www.medrxiv.org/content/10.1101/2020.03.11.20034512v1	10.1101/2020.03.11.20034512	2020	2020-11-03	asymptomatic		Asymptomatic infections are contagious some time after infection.
covid	https://www.medrxiv.org/content/10.1101/2020.03.03.20030445v2	10.1101/2020.03.03.20030445	2020	2020-03-03	asymptomatic		Shao P, Shan Y. Beware of asymptomatic transmission
covid	https://www.sciencedirect.com/science/article/pii/B9780702039355000598	10.1016/B978-0-7020-3935-5.00059-8	2011		asymptomatic		Cross-species transmission of the 2003 SARS-CoV from the natural reservoir of horseshoe bats to a large-scale human outbreak occurred via several mammalian species sold as exotic food in live animal markets; in the animal market, the virus-infected animal handlers were asymptomatic or exhibited a mild clinical picture.
covid	https://www.medrxiv.org/content/10.1101/2020.02.19.20025031v1	10.1101/2020.02.19.20025031	2020	2020-02-19	asymptomatic		However, 308 itis worth noting that, at the epidemiological level, these asymptomatic patients are almost 309 the same as those in the incubation period.
covid	https://www.medrxiv.org/content/10.1101/2020.02.19.20025031v1	10.1101/2020.02.19.20025031	2020	2020-02-19	incubation+time	306	Although there was a reported case of 306 incubation time up to 24 day [16], we believe that it is necessary to clarify whether an 307 imaging assessment was performed before the onset of symptoms in this patient.
covid	https://www.medrxiv.org/content/10.1101/2020.02.19.20025031v1	10.1101/2020.02.19.20025031	2020	2020-02-19	asymptomatic		Therefore, these patients can only be 305 considered asymptomatic but not in incubation.
covid	https://www.medrxiv.org/content/10.1101/2020.02.19.20025031v1	10.1101/2020.02.19.20025031	2020	2020-02-19	asymptomatic		The 11 asymptomatic patients in the Shanghai cohort were diagnosed after nucleic 303 acid sampling of close contacts of confirmed patients.
covid	https://www.sciencedirect.com/science/article/pii/B9780323401814000025	10.1016/B978-0-323-40181-4.00002-5	2018		asymptomatic		, Marburg viruses Airborne Precautions plus Contact Precautions, with face and eye protection, emphasizing safety sharps and barrier precautions when blood exposure likely In the United States, asymptomatic persons can be managed in Ebola assessment centers.
flu	http://www.sciencedirect.com/science/article/pii/S0264410X05007188	10.1016/j.vaccine.2005.07.046	2005		asymptomatic		Aquatic birds, in which the virus ies in the gut, usually have an asymptomatic infection and excrete the virus in their feces, thus serving as a natu- ral virus reservoir and a potential source of new genes pandemic influenza viruses.
covid	https://www.sciencedirect.com/science/article/pii/S1567134820300472	10.1016/j.meegid.2020.104215	2020		asymptomatic		Aquatic waterfowl are asymptomatic carriers of all subtypes of influ-
covid	https://www.medrxiv.org/content/10.1101/2020.03.14.20035873v1	10.1101/2020.03.14.20035873	2020	2020-03-14	asymptomatic		Homogeneous transmissibility and the potential for transmission from asymptomatic sources [17] brings COVID-19’s behavior closer to other respiratory transmission viruses, such as measles or influenza [13].
covid	https://www.medrxiv.org/content/10.1101/2020.03.07.20031393v1	10.1101/2020.03.07.20031393	2020	2020-07-03	asymptomatic		Figure 4: Chest CTs of a asymptomatic patient, obtained on Fab 10 showed small patchy high shadows and shadows in the lower lobe of the near the surface.
covid	https://www.sciencedirect.com/science/article/pii/S0166354219301585	10.1016/j.antiviral.2019.04.006	2019		asymptomatic		The spectrum of the disease varies from asymptomatic (identified during contact tracing) to severe illness characterized by hypoxemic respiratory failure and eventual multi-organ failure resulting in a mortality in critically ill patients that reaches ~67% (Arabi et al., 2017b).
flu	https://www.sciencedirect.com/science/article/pii/B9780128094686000334	10.1016/B978-0-12-809468-6.00033-4	2017		asymptomatic		There are four distinct serotypes of DENV, 144, which are capable of causing a wide clinical trum that ranges from asymptomatic to severe with development of DHF (World Health Organization, 1997).
covid	https://www.medrxiv.org/content/10.1101/2020.03.13.20035253v1	10.1101/2020.03.13.20035253	2020	2020-03-13	asymptomatic		Rothe, C.; Schunk, M.; Sothmann, P.; Bretzel, G.; Froeschl, G.; Wallrauch, C.; Zimmer, T.; Thiel, V.; Janke, C.; Guggemos, W.; Seilmaier, M.; Drosten, C.; Vollmar, P.; Zwirglmaier, K.; Zange, S.; Wélfel, R.; Hoelscher, M. Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.03.13.20035253v1	10.1101/2020.03.13.20035253	2020	2020-03-13	asymptomatic		Based on the SEIR model and considering asymptomatic COVID-19 carriers, deaths and the mobility of individuals, we constructed a model that included S, A, I, R, and D states (SAIRD).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033357v1	10.1101/2020.03.09.20033357	2020	2020-09-03	asymptomatic		Quantifying the extent of infection overall in the population (including those infected with either mild, non-specific symptoms or who are asymptomatic, as depicted in the bottom of Figure 1) requires random population surveys of infection prevalence.
flu	https://www.sciencedirect.com/science/article/pii/B9780702062858000721	10.1016/B978-0-7020-6285-8.00072-1	2017		asymptomatic		The initial illness is often asymptomatic but 80% of those infected develop chronic infection that may result in cirrhosis and hepatocellular carcinoma A chronic retroviral infection which leads to depletion of CD4 lymphocytes and immunosuppression resulting in AIDS ‘ance (Continued) Risk Factors, Source and Route of Transmission Spread to humans occurs rarely, through close contact with material from affected poultry or other birds Disease may be a severe respiratory illness (HSN1, H7N9) or conjunctivitis (H7N2, H7N3)
covid	https://www.medrxiv.org/content/10.1101/2020.02.26.20028084v1	10.1101/2020.02.26.20028084	2020	2020-02-26	asymptomatic		Transmission of COVID-19 Infection from an Asymptomatic Contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033803v1	10.1101/2020.03.10.20033803	2020	2020-10-03	asymptomatic		e Large portion of asymptomatic virus carriers: according to an Official Report by the Japanese Ministry of Health, Labour and Welfare (2020), it has been found that the of infected is considerable.
flu	https://www.sciencedirect.com/science/article/pii/B978012800886700011X	10.1016/B978-0-12-800886-7.00011-X	2017		asymptomatic		Asymptomatic SARS coronavirus infection among healthcare workers, Singapore.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033803v1	10.1101/2020.03.10.20033803	2020	2020-10-03	asymptomatic		tomatic, patients with symptoms are about twice as likely to pass a pathogen to others as asymptomatic patients, and current containment measures are effective to reduce the contact and transmission rate.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20032144v1	10.1101/2020.03.06.20032144	2020	2020-06-03	asymptomatic		There was inconsistent reporting of maternal, perinatal and neonatal outcomes across case reports and series concerning COVID-19, SARS, MERS and other From reports of 19 women to date affected by COVID-19 in pregnancy, delivering 20 babies, 3 (16%) were asymptomatic, 1 (5%) was admitted to ICU and no maternal deaths have been reported.
covid	https://www.medrxiv.org/content/10.1101/2020.03.04.20026005v1	10.1101/2020.03.04.20026005	2020	2020-04-03	asymptomatic		Five asymptomatic patients were found in this study, one patients (C’4) who infected three family members (C92, C94 and C102) provide evidence that the asymptomatic transmission risks the spread of COVID-19, which brings more difficult to cut off the epidemic’s transmission route.
covid	https://www.medrxiv.org/content/10.1101/2020.03.04.20026005v1	10.1101/2020.03.04.20026005	2020	2020-04-03	asymptomatic		a virus-carrier, the same contact history and the similar onset time of her three relatives indicate that C’3 was an asymptomatic COVID-19-carrier.
covid	https://www.medrxiv.org/content/10.1101/2020.03.04.20026005v1	10.1101/2020.03.04.20026005	2020	2020-04-03	asymptomatic		Except the confirmed cases, whether the asymptomatic COVID-19-carriers has the infectious is unclear.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		To estimate the effects of assumptions about asymptomatic transmission on the impor- tance of asymptomatic transmission and estimates of the basic reproduction number Ro, we parameterize the generation interval distributions of asymptomatic and symptomatic cases based on their means, G, and G,, and dispersions, kK, and k;.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		, decreased) if transmission is relatively faster (slower) along the asymptomatic route.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		Thus, the realized pro- portion of asymptomatic infections will be increased (resp.
covid	http://wwwnc.cdc.gov/eid/article/10/6/03-0972_article.htm	10.3201/eid1006.030972			asymptomatic		B denotes the changes in IgG for two patients with mild SARS and one asymptomatic with SARS-CoV infection.
covid	https://www.biorxiv.org/content/10.1101/2020.03.08.982637v1	10.1101/2020.03.08.982637	2020	2020-08-03	asymptomatic		It is possible that asymptomatic carriers of COVID-19 in the crowd may have contributed as the source of virus-laden aerosol
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033464v1	10.1101/2020.03.09.20033464	2020	2020-09-03	asymptomatic		(E) Variation in number of infected (asymptomatic/symptomatic) individuals with detection rate function 5,(t).
covid	https://www.medrxiv.org/content/10.1101/2020.02.15.20023440v2	10.1101/2020.02.15.20023440	2020	2020-02-15	asymptomatic		To investigate whether the observed infection data support the presence of asymptomatic transmission, an open population SEAIR model (Figure 3) was formulated, which has one additional A, the infectious between the latent
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		Assuming that the intrinsic generation-interval distribution for each class (asymptomatic and symptomatic) follows a gamma distribution with mean G’, and dispersion K., the discount of a new infection can be written as:
covid	https://www.medrxiv.org/content/10.1101/2020.01.28.20019299v4	10.1101/2020.01.28.20019299	2020	2020-01-28	asymptomatic		Asymptomatic SARS coronavirus infection among healthcare workers, Singapore.
covid	https://www.sciencedirect.com/science/article/pii/S0140673615604548	10.1016/S0140-6736(15)60454-8	2015		asymptomatic		However, patients without underlying diseases can also be infected, although most develop asymptomatic or mild clinical disease."
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		tious, p is the fraction of asymptomatic cases that are generated for each exposed individual, 1—pis
covid	https://www.medrxiv.org/content/10.1101/2020.03.14.20035873v1	10.1101/2020.03.14.20035873	2020	2020-03-14	asymptomatic		Mizumoto K, Kagaya K, Zarebski A, Chowell G. Estimating the Asymptomatic Ratio 2019
covid	https://www.sciencedirect.com/science/article/pii/B9781455748013001570	10.1016/B978-1-4557-4801-3.00157-0	2015		asymptomatic		Asymptomatic shedding is common, particularly in tropical climates” and in populations living in poor hygienic condi- tions.”
flu	https://www.sciencedirect.com/science/article/pii/S1755436514000607	10.1016/j.epidem.2014.09.011	2014		asymptomatic		Seroprevalence IgG antibodies to SARS-coronavirus in asymptomatic or subclinical population Infect.
flu	https://www.sciencedirect.com/science/article/pii/B9780128094686000334	10.1016/B978-0-12-809468-6.00033-4	2017		asymptomatic		Infected host animals develop persis- tent infection that is typically asymptomatic.
flu	https://www.sciencedirect.com/science/article/pii/B9780128094686000334	10.1016/B978-0-12-809468-6.00033-4	2017		asymptomatic		After 2- to RVFV causes a wide range of signs and symptoms in humans ranging from asymptomatic to severe disease with hepa- titis, vision loss, encephalitis, and hemorrhagic fever (Ikegami and Makino, 2011; Laughlin et al., 1979; Peters and Linthicum, 1994).
covid	https://www.sciencedirect.com/science/article/pii/S0168170212002614	10.1016/j.virusres.2012.07.012	2012		asymptomatic		Asymptomatic severe acute respiratory syndrome-associated coronavirus infection.
covid	https://www.medrxiv.org/content/10.1101/2020.03.05.20031849v1	10.1101/2020.03.05.20031849	2020	2020-05-03	asymptomatic		; RP: 279 Reservoir-People; SEIARW: susceptible - exposed — symptomatic — asymptomatic — recovered 280 reservoir; SAR: secondary attack rate; P®: coefficient of determination.
covid	https://onlinelibrary.wiley.com/doi/abs/10.1111/ajt.15832	10.1111/ajt.15832			asymptomatic		The chance of a donor-derived infection may be influenced by donor exposures as well as infectivity of people in the incubation period and of asymptomatic individuals.
covid	https://www.sciencedirect.com/science/article/pii/S0163445320300906	10.1016/j.jinf.2020.02.013	2020		asymptomatic		In case cross-species transmission, close contact with sick or asymptomatic companion, domestic and wild animals should be cautious, such as for workers in livestock farming and travellers in the wild.
covid	https://www.sciencedirect.com/science/article/pii/B9781455733835000324	10.1016/B978-1-4557-3383-5.00032-4	2016		asymptomatic		Thus, major reservoir for CMV is asymptomatic infected persons.
covid	https://www.medrxiv.org/content/10.1101/2020.02.24.20027649v2	10.1101/2020.02.24.20027649	2020	2020-02-24	asymptomatic		asymptomatic people including one quarantine officer, one nurse and one administrative officer tested positive for COVID-19 out of the 3,711 passengers and crew members on board.
covid	https://www.medrxiv.org/content/10.1101/2020.03.08.20031229v2	10.1101/2020.03.08.20031229	2020	2020-08-03	asymptomatic		According to World Health Organization interim guidance on January 12, 2020, SARS-CoV-2 infection is classified as asymptomatic
covid	https://www.medrxiv.org/content/10.1101/2020.02.15.20023440v2	10.1101/2020.02.15.20023440	2020	2020-02-15	asymptomatic		In addition, a modified SEIR model was used to evaluate the empirical support for the presence of asymptomatic transmissions.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033738v1	10.1101/2020.03.10.20033738	2020	2020-10-03	asymptomatic		We subsume these possible reasons for cases not being ascertained under the term “asymptomatic”.
covid	http://wwwnc.cdc.gov/eid/article/11/7/04-1165_article.htm	10.3201/eid1107.041165			asymptomatic		The incidence of SARS- CoV-positive cases among all asymptomatic HCWs was 6 (16%) of 37.
covid	http://wwwnc.cdc.gov/eid/article/11/7/04-1165_article.htm	10.3201/eid1107.041165			asymptomatic		The overall incidence of asymptomatic SARS-CoV infection was 6 (7.5%) of 80.
covid	http://wwwnc.cdc.gov/eid/article/11/7/04-1165_article.htm	10.3201/eid1107.041165			asymptomatic		Of the 45 SARS-CoV-positive study par- ticipants, 37 (82%) were classified as having pneumonic SARS, 2 (4%) as having subclinical SARS, and 6 (13%) as having asymptomatic SARS-CoV infection (Table 1).
covid	http://wwwnc.cdc.gov/eid/article/11/7/04-1165_article.htm	10.3201/eid1107.041165			asymptomatic		SARS- CoV-positive patients without fever or respiratory symp- toms were defined as having asymptomatic SARS-CoV infection.
covid	https://www.medrxiv.org/content/10.1101/2020.03.03.20028423v2	10.1101/2020.03.03.20028423	2020	2020-03-03	asymptomatic		This work shows that heightened surveillance and isolation, particularly contact tracing, reduces the time cases are infectious in the community, thereby reducing R. Its overall impact, however, is uncertain and highly dependent on the number of asymptomatic cases.
covid	https://www.medrxiv.org/content/10.1101/2020.02.20.20025619v2	10.1101/2020.02.20.20025619	2020	2020-02-20	asymptomatic		The transmission evidence from an asymptomatic COVID-19 carrier to his cohabited family members, and his wife admitted to the ICU after being infected.
covid	https://www.medrxiv.org/content/10.1101/2020.02.26.20028191v1	10.1101/2020.02.26.20028191	2020	2020-02-26	asymptomatic		Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2	10.1101/2020.02.26.20026971	2020	2020-02-26	asymptomatic		Therefore, we should pay close attention to asymptomatic high-risk groups in clinical diagnosis and treatment.
covid	https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2	10.1101/2020.02.26.20026971	2020	2020-02-26	asymptomatic		Undoubtably, the asymptomatic patients increase the challenge in the prevention of COVID-19 infection.
covid	https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2	10.1101/2020.02.26.20026971	2020	2020-02-26	asymptomatic		Recently, a case reported an asymptomatic carrier without any symptoms and signs transmitted the coronavirus to other five persons.'?
covid	https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2	10.1101/2020.02.26.20026971	2020	2020-02-26	asymptomatic		Further studies are needed to explore the underlying mechanism whereby the asymptomatic patients could exist.
covid	https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2	10.1101/2020.02.26.20026971	2020	2020-02-26	asymptomatic		There are even 5 cases of asymptomatic patients in our study, who were actively hospitalized after close contact with the confirmed cases, and then diagnosed with COVID-19.
flu	https://www.sciencedirect.com/science/article/pii/S0399077X18307583	10.1016/j.medmal.2019.04.391	2020		asymptomatic		As bacterial clearance is fast for both Legionella and M. pneu- moniae, there is no asymptomatic respiratory carriage of these pathogens [19,20].
flu	https://www.sciencedirect.com/science/article/pii/B9780128094686000334	10.1016/B978-0-12-809468-6.00033-4	2017		asymptomatic		Many individuals are asymptomatic until complications emerge related to chronic HBV carriage.
flu	https://www.sciencedirect.com/science/article/pii/S1571064507000413	10.1016/j.plrev.2007.12.001	2008		asymptomatic		A biological model for influenza transmission: pandemic planning implications of asymptomatic infection and immunity.
covid	https://www.medrxiv.org/content/10.1101/2020.02.20.20025619v2	10.1101/2020.02.20.20025619	2020	2020-02-20	asymptomatic		Through epidemiological investigation, we observed a typical asymptomatic transmission to the cohabiting family members, which even caused severe COVID-19 pneumonia.
covid	https://www.medrxiv.org/content/10.1101/2020.02.20.20025619v2	10.1101/2020.02.20.20025619	2020	2020-02-20	asymptomatic		The median communicable period, defined as the interval from the first day of positive nucleic acid tests to the first day of continuous negative tests, was 9.5 days (up to 21 days among the 24 asymptomatic cases).
covid	https://www.medrxiv.org/content/10.1101/2020.02.20.20025619v2	10.1101/2020.02.20.20025619	2020	2020-02-20	asymptomatic		Findings None of the 24 asymptomatic cases presented any obvious symptoms before nucleic acid screening.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-09-03	asymptomatic		We divide incidence i into two categories ~ i,q and i, — corresponding to incidence of asymptomatic and symptomatic cases, respective- ly.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20032417v1	10.1101/2020.03.06.20032417	2020	2020-06-03	asymptomatic		We have conducted a cross-sectional and forward follow-up study by identifying those asymptomatic individuals at their time of departure from Wuhan and then following them until their symptoms developed.
covid	http://doi.wiley.com/10.1111/jvim.15548	10.1111/jvim.15548			asymptomatic		Koch J, Pedersen HD, Jensen AL, Flagstad A, Poulsen K. Activation of the renin-angiotensin system in dogs with asymptomatic and symp-
covid	http://doi.wiley.com/10.1111/jvim.15548	10.1111/jvim.15548			asymptomatic		Pedersen HD, Koch J, Poulsen K, Jensen AL, Flagstad A. Activation of the renin-angiotensin system in dogs with asymptomatic and mildly symptomatic mitral valvular insufficiency.
covid	https://www.sciencedirect.com/science/article/pii/S0168706906160036	10.1016/S0168-7069(06)16003-6	2006		asymptomatic		Pepin J, Morgan G, Dunn D, Gevao S, Mendy M, Gaye I, Scollen N, Tedder R, Whittle H. HIV-2-induced immunosuppression among asymptomatic West African prostitutes:
covid	https://www.sciencedirect.com/science/article/pii/B9780128012383026295	10.1016/B978-0-12-801238-3.02629-5	2015		asymptomatic		The majority of patients with BK virus infections are asymptomatic.
